영양소,상호작용_유형,상대,상대_정규화,상대_분류,맥락,섹션경로,statement,문헌번호,문헌_확보율,문헌정보,PubMed,출처URL,수집시각
biotin,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Individuals on long-term anticonvulsant (anti- seizure) therapy reportedly have reduced blood biotin concentrations, as well as an increased urinary excretion of organic acids (e.g., 3-hydroxyisovaleric acid) that indicate decreased carboxylase activity (see Markers of biotin status) (5). Potential mechanisms of biotin depletion by the anticonvulsants, primidone (Mysoline), phenytoin (Dilantin, Phenytek), and carbamazepine (Carbatrol, Epitol, Equetro, Tegretol), include inhibition of biotin intestinal absorption and renal reabsorption, as well as increased biotin catabolism (73). Use of the anticonvulsant valproic acid in children has resulted in hair loss reversed by biotin supplementation (74-77). Long-term treatment with antibacterial sulfonamide (sulfa) drugs or other antibiotics may decrease bacterial synthesis of biotin. Yet, given that the extent to which bacterial synthesis contributes to biotin intake in humans is not known, effects of antimicrobial drugs on biotin nutritional status remain uncertain (73).",5;73;74;77,4/4,"Zempleni J, Wijeratne SSK, Kuroishi T. Biotin. In: Erdman JWJ, Macdonald IA, Zeisel SH, eds. Present Knowledge in Nutrition. 10th ed: John Wiley & Sons, Inc.; 2012:359-374. | Natural-Medicines. Biotin/Drug interactions. www.naturaldatabase.com/. 2014. | Castro-Gago M, Gomez-Lado C, Eiris-Punal J, Diaz-Mayo I, Castineiras-Ramos DE. Serum biotinidase activity in children treated with valproic acid and carbamazepine. J Child Neurol. 2010;25(1):32-35. (PubMed) | Yilmaz Y, Tasdemir HA, Paksu MS. The influence of valproic acid treatment on hair and serum zinc levels and serum biotinidase activity. Eur J Paediatr Neurol. 2009;13(5):439-443. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/19458381;http://www.ncbi.nlm.nih.gov/pubmed/18922714,https://lpi.oregonstate.edu/mic/vitamins/biotin,2026-08-10T04:48:00+00:00
calcium,영양소-영양소,Vitamin D,Vitamin D,미량영양소,Nutrient interactions,Function > Nutrient interactions > Vitamin D,Vitamin D is required for optimal calcium absorption (see Function or the article on Vitamin D). Several other nutrients (and non-nutrients) influence the retention of calcium by the body and may affect calcium nutritional status.,,,,,https://lpi.oregonstate.edu/mic/minerals/calcium,2026-08-10T04:48:03+00:00
calcium,영양소-영양소,Sodium,Sodium,미량영양소,Nutrient interactions,Function > Nutrient interactions > Sodium,"Dietary sodium is a major determinant of urinary calcium loss (1). High- sodium intake results in increased loss of calcium in the urine, possibly due to competition between sodium and calcium for reabsorption in the kidneys or by an effect of sodium on parathyroid hormone (PTH) secretion. Every 1-gram (g) increment in sodium (2.5 g of sodium chloride; NaCl salt) excreted by the kidneys has been found to draw about 26.3 milligrams (mg) of calcium into the urine (1). A study conducted in adolescent girls reported that a high-salt diet had a greater effect on urinary sodium and calcium excretion in White compared to Black girls, suggesting differences among ethnic groups (4). In adult women, each extra gram of sodium consumed per day is projected to produce an additional rate of bone loss of 1% per year if all of the calcium loss comes from the skeleton. A number of cross-sectional and intervention studies have suggested that high-sodium intakes are deleterious to bone health, especially in older women (5). A two-year longitudinal study in postmenopausal women found increased urinary sodium excretion (an indicator of increased sodium intake) to be associated with decreased bone mineral density (BMD) at the hip (6). Another study in 40 postmenopausal women found that adherence to a low-sodium diet (2 g/day) for six months was associated with significant reductions in sodium excretion, calcium excretion, and amino-terminal propeptide of type I collagen, a biomarker of bone resorption. Yet, these associations were only observed in women with elevated baseline urinary sodium excretions (7). Finally, in a randomized, placebo -controlled study in 60 postmenopausal women, potassium citrate supplementation has been found to prevent an increase in calcium excretion induced by the consumption of a high-sodium diet (≥5,000 mg/day of elemental sodium) for four weeks (8).",1;4;5;6;7;8,6/6,"Weaver CM. Calcium. In: Erdman JJ, Macdonald I, Zeisel S, eds. Present Knowledge in Nutrition. 10th ed: John Wiley & Sons, Inc.; 2012:434-446. | Wigertz K, Palacios C, Jackman LA, et al. Racial differences in calcium retention in response to dietary salt in adolescent girls. Am J Clin Nutr. 2005;81(4):845-850. (PubMed) | Frassetto LA, Morris RC, Jr., Sellmeyer DE, Sebastian A. Adverse effects of sodium chloride on bone in the aging human population resulting from habitual consumption of typical American diets. J Nutr. 2008;138(2):419S-422S. (PubMed) | Devine A, Criddle RA, Dick IM, Kerr DA, Prince RL. A longitudinal study of the effect of sodium and calcium intakes on regional bone density in postmenopausal women. Am J Clin Nutr. 1995;62(4):740-745. (PubMed) | Carbone LD, Barrow KD, Bush AJ, et al. Effects of a low sodium diet on bone metabolism. J Bone Miner Metab. 2005;23(6):506-513. (PubMed) | Sellmeyer DE, Schloetter M, Sebastian A. Potassium citrate prevents increased urine calcium excretion and bone resorption induced by a high sodium chloride diet. J Clin Endocrinol Metab. 2002;87(5):2008-2012. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/15817862;http://www.ncbi.nlm.nih.gov/pubmed/18203914;https://www.ncbi.nlm.nih.gov/pubmed/7572702;https://www.ncbi.nlm.nih.gov/pubmed/16261460;http://www.ncbi.nlm.nih.gov/pubmed/11994333,https://lpi.oregonstate.edu/mic/minerals/calcium,2026-08-10T04:48:03+00:00
calcium,영양소-영양소,Protein,Protein,다량영양소,Nutrient interactions,Function > Nutrient interactions > Protein,"Increasing dietary protein intake enhances intestinal calcium absorption, as well as urinary calcium excretion (9). The RDA for protein is 46 grams (g)/day for adult women and 56 g/day for adult men; however, the average intake of protein in the US tends to be higher (about 70 g/day in adult women and over 100 g per day in adult men) (10). It was initially thought that high-protein diets may result in a negative calcium balance (when the sum of urinary and fecal calcium excretion becomes greater than calcium intake) and thus increase bone loss (11). However, most observational studies have reported either no association or positive associations between protein intake and bone mineral density in children, adults, and elderly subjects (reviewed in 12). The overall calcium balance appears to be unchanged by high dietary protein intake in healthy individuals (13), and current evidence suggests that increased protein intakes in those with adequate supplies of protein, calcium, and vitamin D do not adversely affect BMD or fracture risk (14).",9;10;11;12;13;14,6/6,"Food and Nutrition Board, Institute of Medicine. Dietary Reference Intakes for Calcium and Vitamin D. Washington, D.C.; 2011. (The National Academies Press) | Fulgoni VL, 3rd. Current protein intake in America: analysis of the National Health and Nutrition Examination Survey, 2003-2004. Am J Clin Nutr. 2008;87(5):1554S-1557S. (PubMed) | Ince BA, Anderson EJ, Neer RM. Lowering dietary protein to U.S. Recommended dietary allowance levels reduces urinary calcium excretion and bone resorption in young women. J Clin Endocrinol Metab. 2004;89(8):3801-3807. (PubMed) | Calvez J, Poupin N, Chesneau C, Lassale C, Tome D. Protein intake, calcium balance and health consequences. Eur J Clin Nutr. 2012;66(3):281-295. (PubMed) | Kerstetter JE, O'Brien KO, Caseria DM, Wall DE, Insogna KL. The impact of dietary protein on calcium absorption and kinetic measures of bone turnover in women. J Clin Endocrinol Metab. 2005;90(1):26-31. (PubMed) | Darling AL, Millward DJ, Torgerson DJ, Hewitt CE, Lanham-New SA. Dietary protein and bone health: a systematic review and meta-analysis. Am J Clin Nutr. 2009;90(6):1674-1692. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/18469286;http://www.ncbi.nlm.nih.gov/pubmed/15292308;http://www.ncbi.nlm.nih.gov/pubmed/22127335;http://www.ncbi.nlm.nih.gov/pubmed/15546911;http://www.ncbi.nlm.nih.gov/pubmed/19889822,https://lpi.oregonstate.edu/mic/minerals/calcium,2026-08-10T04:48:03+00:00
calcium,영양소-영양소,Phosphorus,Phosphorus,미량영양소,Nutrient interactions,Function > Nutrient interactions > Phosphorus,"Phosphorus, which is typically found in protein -rich food, tends to increase the excretion of calcium in the urine. Diets with low calcium-to-phosphorus ratios (Ca:P ≤0.5) have been found to increase parathyroid hormone (PTH) secretion and urinary calcium excretion (15, 16). Also, the intestinal absorption and fecal excretion of calcium and phosphorus are influenced by calcium-to-phosphorus ratios of ingested food. Indeed, in the intestinal lumen, calcium salts can bind to phosphorus to form complexes that are excreted in the feces. This forms the basis for using calcium salts as phosphorus binders to lower phosphorus absorption in individuals with kidney insufficiency (17). Increasing phosphorus intakes from cola soft drinks (high in phosphoric acid) and food additives (high in phosphates) may have adverse effects on bone health (18). At present, there is no convincing evidence that the dietary phosphorus levels experienced in the US adversely affect bone health. Yet, the substitution of large quantities of phosphorus-containing soft drinks for milk or other sources of dietary calcium may represent a serious risk to bone health in adolescents and adults (see the article on Phosphorus).",15;16;17;18,4/4,"Grimm M, Muller A, Hein G, Funfstuck R, Jahreis G. High phosphorus intake only slightly affects serum minerals, urinary pyridinium crosslinks and renal function in young women. Eur J Clin Nutr. 2001;55(3):153-161. (PubMed) | Kemi VE, Karkkainen MU, Rita HJ, Laaksonen MM, Outila TA, Lamberg-Allardt CJ. Low calcium:phosphorus ratio in habitual diets affects serum parathyroid hormone concentration and calcium metabolism in healthy women with adequate calcium intake. Br J Nutr. 2010;103(4):561-568. (PubMed) | Heaney RP. Phosphorus. In: Erdman JJ, Macdonald I, Zeisel S, eds. Present Knowledge in Nutrition. 10th ed. Ames: John Wiley & Sons, Inc.; 2012:447-458. | Calvo MS, Moshfegh AJ, Tucker KL. Assessing the health impact of phosphorus in the food supply: issues and considerations. Adv Nutr. 2014;5(1):104-113. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/11305263;http://www.ncbi.nlm.nih.gov/pubmed/19781123;http://www.ncbi.nlm.nih.gov/pubmed/24425729,https://lpi.oregonstate.edu/mic/minerals/calcium,2026-08-10T04:48:03+00:00
calcium,영양소-영양소,Caffeine,Caffeine,식이성분,Nutrient interactions,Function > Nutrient interactions > Caffeine,"Exposure to caffeine concentrations ≤400 mg/day have led to increased urinary calcium content in two randomized controlled trials (19, 20). However, caffeine intakes of 400 mg/day did not significantly change urinary calcium excretion over 24 hours in premenopausal women when compared to a placebo (21). A systematic review of 14 studies recently concluded that daily intake of ≤400 mg of caffeine was unlikely to interfere with calcium homeostasis, impact negatively bone mineral density, or increase the risks of osteoporosis and fracture in individuals with adequate calcium intakes (22).",19;20;21;22,4/4,"Heaney RP, Rafferty K. Carbonated beverages and urinary calcium excretion. Am J Clin Nutr. 2001;74(3):343-347. (PubMed) | Ribeiro-Alves MA, Trugo LC, Donangelo CM. Use of oral contraceptives blunts the calciuric effect of caffeine in young adult women. J Nutr. 2003;133(2):393-398. (PubMed) | Barger-Lux MJ, Heaney RP, Stegman MR. Effects of moderate caffeine intake on the calcium economy of premenopausal women. Am J Clin Nutr. 1990;52(4):722-725. (PubMed) | Wikoff D, Welsh BT, Henderson R, et al. Systematic review of the potential adverse effects of caffeine consumption in healthy adults, pregnant women, adolescents, and children. Food Chem Toxicol. 2017;Apr 21. pii: S0278-6915(17)30170-9. doi: 10.1016/j.fct. 2017.04.002. [Epub ahead of print]. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/11522558;https://www.ncbi.nlm.nih.gov/pubmed/12566473;https://www.ncbi.nlm.nih.gov/pubmed/2403065;https://www.ncbi.nlm.nih.gov/pubmed/28438661,https://lpi.oregonstate.edu/mic/minerals/calcium,2026-08-10T04:48:03+00:00
calcium,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Taking calcium supplements in combination with thiazide diuretics (e.g., hydrochlorothiazide) increases the risk of developing hypercalcemia due to increased reabsorption of calcium in the kidneys. High doses of supplemental calcium could increase the likelihood of abnormal heart rhythms in people taking digoxin (Lanoxin) for heart failure (172). Calcium, when provided intravenously, may decrease the efficacy of calcium channel blockers (173). However, dietary and oral supplemental calcium do not appear to affect the action of calcium channel blockers (174). Calcium may decrease the absorption of tetracycline, quinolone class antibiotics, bisphosphonates, sotalol (a β-blocker), and levothyroxine; therefore, it is advisable to separate doses of these medications and calcium-rich food or supplements by two hours before calcium or four-to-six hours after calcium (175). Supplemental calcium can decrease the concentration of dolutegravir (Tivicay), elvitegravir (Vitekta), and raltegravir (Isentress), three antiretroviral medications, in blood such that patients are advised to take them two hours before or after calcium supplements (175). Intravenous calcium should not be administrated within 48 hours following intravenous ceftriaxone (rocephine), a cephalosporin antibiotic, since a ceftriaxone-calcium salt precipitate can form in the lungs and kidneys and be a cause of death (175). Use of H 2 blockers (e.g., cimetidine) and proton-pump inhibitors (e.g., omeprazole) may decrease the absorption of calcium carbonate and calcium phosphate (reviewed in 176, 177), whereas lithium may increase the risk of hypercalcemia in patients (175). The topical use of calcipotriene, a vitamin D analog, in the treatment of psoriasis places patients at risk of hypercalcemia if they take calcium supplements.",172;173;174;175;176;177,6/6,"Vella A, Gerber TC, Hayes DL, Reeder GS. Digoxin, hypercalcaemia, and cardiac conduction. Postgrad Med J. 1999;75(887):554-556. (PubMed) | Moser LR, Smythe MA, Tisdale JE. The use of calcium salts in the prevention and management of verapamil-induced hypotension. Ann Pharmacother. 2000;34(5):622-629. (PubMed) | Bania TC, Blaufeux B, Hughes S, Almond GL, Homel P. Calcium and digoxin vs. calcium alone for severe verapamil toxicity. Acad Emerg Med. 2000;7(10):1089-1096. (PubMed) | Natural Medicines. Calcium - Professional handout/Drug interactions. Available at: https://naturalmedicines.therapeuticresearch.com. Accessed 5/31/17. | Ito T, Jensen RT. Association of long-term proton pump inhibitor therapy with bone fractures and effects on absorption of calcium, vitamin B 12, iron, and magnesium. Curr Gastroenterol Rep. 2010;12(6):448-457. (PubMed) | Wright MJ, Proctor DD, Insogna KL, Kerstetter JE. Proton pump-inhibiting drugs, calcium homeostasis, and bone health. Nutr Rev. 2008;66(2):103-108. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/10616693;https://www.ncbi.nlm.nih.gov/pubmed/10852091;https://www.ncbi.nlm.nih.gov/pubmed/11015239;https://www.ncbi.nlm.nih.gov/pubmed/20882439;http://www.ncbi.nlm.nih.gov/pubmed/18254877,https://lpi.oregonstate.edu/mic/minerals/calcium,2026-08-10T04:48:03+00:00
chromium,영양소-영양소,Iron,Iron,미량영양소,Nutrient interactions,Function > Nutrient interactions > Iron,"Chromium competes for one of the binding sites on the iron transport protein, transferrin. However, supplementation of older men with 925 μg/day of chromium for 12 weeks did not significantly affect measures of iron nutritional status (15). A study of younger men found an insignificant decrease in transferrin saturation with iron after supplementation of 200 μg/day of chromium for eight weeks, but no long-term studies have addressed this issue (16). In a 12-week, randomized controlled trial, supplementation with chromium picolinate (200 μg/day) did not affect iron nutritional status in premenopausal women when compared to picolinic acid or placebo (17). Iron overload in hereditary hemochromatosis may interfere with chromium transport by competing for transferrin binding. It has been hypothesized that decreased chromium transport might contribute to the pathogenesis of diabetes mellitus in patients with hereditary hemochromatosis (5).",5;15;16;17,4/4,"Food and Nutrition Board, Institute of Medicine. Chromium. Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington D.C.: National Academy Press; 2001:197-223. (National Academy Press) | Campbell WW, Beard JL, Joseph LJ, Davey SL, Evans WJ. Chromium picolinate supplementation and resistive training by older men: effects on iron-status and hematologic indexes. Am J Clin Nutr. 1997;66(4):944-949. (PubMed) | Lukaski HC, Bolonchuk WW, Siders WA, Milne DB. Chromium supplementation and resistance training: effects on body composition, strength, and trace element status of men. Am J Clin Nutr. 1996;63(6):954-965. (PubMed) | Lukaski HC, Siders WA, Penland JG. Chromium picolinate supplementation in women: effects on body weight, composition, and iron status. Nutrition. 2007;23(3):187-195. (PubMed)",https://pubmed.ncbi.nlm.nih.gov/9322572/;https://pubmed.ncbi.nlm.nih.gov/8644693/;http://www.ncbi.nlm.nih.gov/pubmed/17291720,https://lpi.oregonstate.edu/mic/minerals/chromium,2026-08-10T04:48:05+00:00
chromium,영양소-영양소,Vitamin C,Vitamin C,미량영양소,Nutrient interactions,Function > Nutrient interactions > Vitamin C,"Chromium uptake is enhanced in animals when given at the same time as vitamin C (7). In a study of three women, administration of 100 mg of vitamin C together with 1 mg of chromium resulted in higher plasma levels of chromium than 1 mg of chromium without vitamin C (5).",5;7,2/2,"Food and Nutrition Board, Institute of Medicine. Chromium. Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington D.C.: National Academy Press; 2001:197-223. (National Academy Press) | Stoecker B. Chromium. In: Shils M, Shike M, Ross A, Caballero B, Cousins R, eds. Modern Nutrition in Health and Disease. Philadelphia: Lippincott, Williams & Wilkins; 2006:332-337.",,https://lpi.oregonstate.edu/mic/minerals/chromium,2026-08-10T04:48:05+00:00
chromium,영양소-영양소,Carbohydrates,Carbohydrates,다량영양소,Nutrient interactions,Function > Nutrient interactions > Carbohydrates,"Compared to diets rich in complex carbohydrates (e.g., whole grains), diets high in simple sugars (e.g., sucrose) result in increased urinary chromium excretion in adults. This effect may be related to increased insulin secretion in response to the consumption of simple sugars compared to complex carbohydrates (5).",5,1/1,"Food and Nutrition Board, Institute of Medicine. Chromium. Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington D.C.: National Academy Press; 2001:197-223. (National Academy Press)",,https://lpi.oregonstate.edu/mic/minerals/chromium,2026-08-10T04:48:05+00:00
